chunk2-01|TRUE|CONTRACT|INHERITED|BORN-WRONG|0|NA|YES|KEEP|filed row premise false at filing; read-the-tree precondition
chunk2-02|TRUE|GATE-ABSENT,CONTRACT|FRESH|NA|0|NA|YES|KEEP|tie-breaker flips vacuous guard to absent; no standing empty-set arm
chunk2-03|TRUE|GATE-ABSENT|FRESH|NA|0|NA|YES|KEEP|no check grades direct pinning of a shared constant
chunk2-04|FALSE|ADVERSARY|FRESH|NA|0|NA|YES|KEEP|self-contradicting prose needs a reader with a lens
chunk2-05|TRUE|GATE-ABSENT|INHERITED|DECAYED|0|NA|YES|KEEP|true when filed; the RM-394 repair made it false
chunk2-06|TRUE|GATE-ABSENT|FRESH|NA|0|NA|YES|KEEP|grep-checkable miscite, no cite guard
chunk2-07|TRUE|GATE-ABSENT|FRESH|NA|0|NA|YES|KEEP|measurable claim asserted without measuring
chunk2-08|TRUE|GATE-ABSENT|FRESH|NA|0|NA|YES|KEEP|skip-list scope claim never counted
chunk2-09|FALSE|PROXY-MEASURE|FRESH|NA|0|NA|YES|KEEP|receiver-name heuristic answered the wrong question
chunk2-10|SPLIT|GATE-FIRED-CAUGHT,PROXY-MEASURE|FRESH|NA|0|NA|YES|KEEP|SPLIT because a named test file went RED at the docs-guard run and the grep was a proxy for the registry
chunk2-11|TRUE|GATE-ABSENT|FRESH|NA|0|NA|YES|KEEP|countable pointer claim never counted
chunk2-12|TRUE|GATE-ABSENT,CONTRACT|INHERITED|BORN-WRONG|0|NA|YES|KEEP|ADR-015 watch-for step named; no standing mutation arm
chunk2-13|TRUE|GATE-ABSENT|INHERITED|BORN-WRONG|1|SELF|YES|KEEP|site census undercount; the corrected third site was itself refuted by the next row
chunk2-14|TRUE|GATE-ABSENT|FRESH|NA|0|NA|YES|KEEP|in-session claim to operator, not tracked at refutation
chunk2-15|FALSE|PROXY-MEASURE|FRESH|NA|0|NA|YES|KEEP|caller surface count used to answer the read-set question
chunk2-16|TRUE|GATE-ABSENT|INHERITED|BORN-WRONG|0|NA|YES|KEEP|cite never true, already propagated into three artifacts
chunk2-17|FALSE|ADVERSARY|INHERITED|OVER-GENERALISED|0|NA|YES|KEEP|real asymmetry, false where applied as needing a code remedy
chunk2-18|FALSE|ADVERSARY|FRESH|NA|0|NA|YES|KEEP|uniqueness overclaim about honest cures needs judgement
chunk2-19|FALSE|PROXY-MEASURE|FRESH|NA|0|NA|YES|KEEP|scanned a population the gate never sees
chunk2-20|TRUE|GATE-ABSENT|FRESH|NA|0|NA|YES|KEEP|miscount of disarmed checks, mechanically checkable
chunk2-21|TRUE|GATE-ABSENT|INHERITED|BORN-WRONG|0|NA|YES|KEEP|latent committed code defect, no possessive-apostrophe test
chunk2-22|TRUE|GATE-ABSENT|INHERITED|BORN-WRONG|0|NA|YES|KEEP|committed parse defect, no space-grouped-digit test
chunk2-23|TRUE|GATE-ABSENT|INHERITED|DECAYED|0|NA|YES|KEEP|corpus grew after the row was filed
chunk2-24|FALSE|ADVERSARY|INHERITED|OVER-GENERALISED|0|NA|YES|KEEP|reading of an operator sentence, refuted by a sibling adversarial pass not a gate
chunk2-25|TRUE|GATE-ABSENT|INHERITED|BORN-WRONG|0|NA|YES|KEEP|scrub belief false when formed; forward link outside the window so floor 0
chunk2-26|TRUE|GATE-ABSENT|INHERITED|BORN-WRONG|0|NA|YES|KEEP|shipped one iteration; empty result read like a clean diff
chunk2-27|TRUE|CONTRACT|FRESH|NA|0|NA|YES|KEEP|ADR-015 vacuity precondition named in the row
chunk2-28|TRUE|GATE-FIRED-CAUGHT|FRESH|NA|0|NA|YES|KEEP|the sweep structural arm is a mechanised instrument and it fired with nine live hits
chunk2-29|TRUE|GATE-EXISTING|FRESH|NA|0|NA|YES|KEEP|self-clean test present in the slice, caught the draft before it shipped
chunk2-30|FALSE|ADVERSARY|FRESH|NA|0|NA|YES|KEEP|spec-level reasoning about a transformed view
chunk2-31|FALSE|ADVERSARY|FRESH|NA|0|NA|YES|KEEP|coverage hole found by reasoning against the tree
